distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
0.2583767325045229,-0.7947749388471529,0.6769561278223337,0.0,0.0,0.0,0.0,0.0
-0.2952955956359302,-0.28887406711037894,-0.6852606222828969,1.0,0.0,0.0,1.0,0.0
1.2587044861187466,1.0212620307849178,1.093708231653155,1.0,0.0,0.0,0.0,0.0
1.271092010722392,-0.6083420916359639,0.8044019457298932,1.0,1.0,0.0,1.0,0.0
0.7792877890839844,0.595308974598377,0.6447921480255066,1.0,1.0,0.0,0.0,0.0
-0.35559721089318547,-0.02130487579584887,0.6024263481580422,0.0,1.0,0.0,1.0,0.0
-0.2953023599240327,-0.5092126844112057,-0.2545042880063163,1.0,1.0,0.0,0.0,0.0
0.11027554399072256,-0.4329282160188704,-1.1437175483634623,1.0,0.0,0.0,1.0,0.0
1.5561085360653693,-0.7138087772783287,-0.10763866921304364,1.0,0.0,0.0,1.0,0.0
1.2433129015845883,0.10192567312824363,-1.0037691111327924,1.0,0.0,0.0,1.0,0.0
-0.9525037832728646,0.9652091628969197,2.5559471196162487,0.0,1.0,0.0,1.0,0.0
0.32383060591586726,-0.7388972616128976,-0.24005919601694112,1.0,0.0,1.0,1.0,0.0
-0.9460271537050476,-0.7560976387847167,-0.6937069149016224,1.0,1.0,0.0,0.0,0.0
2.772633888723245,-0.570630348755102,-0.6962070597897507,1.0,0.0,0.0,1.0,0.0
-0.7105787830818298,-0.8059289061595087,-0.1788163748994114,0.0,1.0,0.0,1.0,0.0
-0.3731449262987251,-0.5899026534800267,0.2886021553545081,1.0,0.0,0.0,1.0,0.0
2.4261520708265025,-0.0878836216688967,-0.8951369657487955,1.0,1.0,0.0,0.0,0.0
-0.8285145964913686,-0.8068062599502999,-0.6924314593820736,1.0,1.0,0.0,1.0,0.0
-0.3853938490097278,2.38294427506435,-0.8074495843554317,1.0,0.0,0.0,1.0,0.0
-0.9366194237975413,-0.06826809506619032,2.5270702517965375,1.0,0.0,1.0,0.0,0.0
1.287704485692375,-0.7382641051221106,-0.9711071614271687,1.0,0.0,0.0,1.0,0.0
